OBJECTID,RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT
12262,12262,2040309,5094454,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Long Split,24,12,12,18,100,,,
12263,12263,2566477,7161073,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,0,0,0
12264,12264,254739,2562483,1,2013,Other or Unknown,M,18-21,Robbery,Violent,,M6,Incarceration,40,0,40,0,100,0,250,0
12265,12265,8306766,2405174,2,2013,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,18,4,14,12,150,0,0,0
12266,12266,2324506,8992137,1,2013,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,20,14,6,24,100,,,
12267,12267,6608122,2211379,1,2013,Black,M,18-21,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,150,0,0,0
12268,12268,3016191,4895405,1,2013,Black,M,61-70,Aggravated Assault Knowingly,Violent,,M6,Incarceration,54,0,54,0,100,0,0,0
12269,12269,3016191,4895405,2,2013,Black,M,61-70,Carry Dangerous Weapon- Felony,Weapon,,M8,Incarceration,24,0,24,0,100,0,0,0
12270,12270,2201896,972083,1,2013,Black,M,18-21,Aggravated Assault Knowingly,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
12271,12271,4603901,5218191,1,2013,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D4,Probation,20,20,0,24,100,,,
12272,12272,4213195,1846895,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,18,18,0,18,100,,,
12273,12273,1236604,1927288,1,2013,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Short Split,12,8,4,18,100,0,0,0
12274,12274,3096897,4242082,1,2013,Black,M,18-21,Burglary Two,Property,,M7,Short Split,24,21,3,24,100,,,
12275,12275,4312093,5722026,1,2013,Black,F,31-40,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Short Split,12,11,1,18,100,0,4242,0
12276,12276,5397624,1413002,1,2013,Black,M,22-30,Burglary Two,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
12277,12277,469903,2912581,1,2013,Black,M,22-30,Second Degree Sex Abuse- Incompetent,Sex,,M5,Incarceration,72,0,72,0,100,0,0,0
12278,12278,469903,2912581,3,2013,Black,M,22-30,Fourth Degree Sex Abuse- Others,Sex,,M8,Incarceration,24,0,24,0,100,0,0,0
12279,12279,2001517,8981386,1,2013,Black,M,18-21,Robbery,Violent,,M8,Incarceration,16,0,16,0,100,0,0,0
12280,12280,3389398,1449684,1,2013,Black,M,51-60,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
12281,12281,4663242,9191007,1,2013,Black,F,41-50,Robbery,Violent,,M6,Incarceration,42,0,42,0,100,0,0,0
12282,12282,3630459,7182554,1,2013,Black,M,22-30,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
12283,12283,3630459,7182554,2,2013,Black,M,22-30,Carry Dangerous Weapon- Felony,Weapon,,M8,Probation,6,6,0,6,100,0,0,0
12284,12284,980403,8139223,1,2013,Black,M,18-21,Robbery,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0
12285,12285,9497282,7814102,1,2013,Black,M,22-30,First Degree Child Sex Abuse,Sex,,M3,Incarceration,132,0,132,0,100,0,0,0
12286,12286,2914389,6346180,1,2013,Black,M,22-30,First Degree Sex Abuse- Force,Sex,,M2,Incarceration,168,0,168,0,100,0,0,0
12287,12287,9023132,8274308,1,2013,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,12,0,12,0,100,0,0,0
12288,12288,1344305,7762168,1,2013,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,10,0,10,0,100,0,0,0
12289,12289,3109262,1300452,1,2013,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,17,0,17,0,150,0,0,0
12290,12290,8881750,5404538,3,2013,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
12291,12291,8881750,5404538,4,2013,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,90,0,90,0,100,0,0,0
12292,12292,5511412,3337498,1,2013,Black,M,15-17,Attempt to Commit Robbery,Violent,,M8,Probation,24,24,0,18,100,,,
12293,12293,3102534,3320453,1,2013,Black,M,22-30,Prisoner Escape,Other,,M9,Incarceration,4,0,4,0,100,0,0,0
12294,12294,9667248,6102075,1,2013,Black,M,22-30,Robbery,Violent,,M8,Short Split,24,18,6,18,100,,,
12295,12295,9483772,8967060,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,12,10,2,12,100,0,0,0
12296,12296,9615977,2226003,1,2013,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D4,Short Split,15,14,1,12,100,0,0,0
12297,12297,107042,3454331,1,2013,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D4,Incarceration,10,0,10,0,100,0,0,0
12298,12298,8695018,7681935,2,2013,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
12299,12299,6864530,5126518,1,2013,Black,M,41-50,Bail Reform Act -Felony,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
12300,12300,3272435,4814758,1,2013,Black,M,18-21,Robbery,Violent,,M6,Long Split,30,20,10,18,100,,,
12301,12301,8945468,7962519,1,2013,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0
12302,12302,3150712,8006963,1,2013,Black,M,31-40,Burglary Two,Property,,M8,Incarceration,18,0,18,0,100,0,0,0
12303,12303,3150712,8006963,2,2013,Black,M,31-40,Burglary Two,Property,,M8,Incarceration,18,0,18,0,100,0,0,0
12304,12304,3150712,8006963,3,2013,Black,M,31-40,Burglary Two,Property,,M8,Incarceration,18,0,18,0,100,0,0,0
12305,12305,8602016,3064068,1,2013,Black,M,22-30,Carry Pistol Outside Home/Business,Weapon,,M8,Incarceration,36,0,36,0,100,0,0,0
12306,12306,8602016,3064068,2,2013,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
12307,12307,9711970,1085476,1,2013,Black,M,18-21,Bail Reform Act -Felony,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
12308,12308,3375854,6177306,1,2013,Black,M,31-40,Bail Reform Act -Felony,Other,,M9,Incarceration,7,0,7,0,100,0,0,0
12309,12309,1111377,7169042,1,2013,Black,M,41-50,Burglary Two,Property,,M7,Incarceration,42,0,42,0,250,0,0,0
12310,12310,9207060,6082293,1,2013,Hispanic,M,22-30,Second Degree Child Sex Abuse,Sex,,M8,Incarceration,18,0,18,0,100,0,0,0
12311,12311,651712,5089678,1,2013,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,28,0,28,0,100,0,0,0
12312,12312,599287,5196706,1,2013,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Short Split,14,11,3,24,100,,,
12313,12313,9197370,4634008,1,2013,Black,M,18-21,Assault with Significant Bodily Injury,Violent,,M8,Probation,10,10,0,12,100,0,0,0
12314,12314,9666466,3869980,1,2013,Black,M,22-30,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,0,0,0
12315,12315,9666466,3869980,2,2013,Black,M,22-30,Robbery,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
12316,12316,9294375,6943351,1,2013,Black,M,18-21,Murder II,Homicide,Murder II,M2,Incarceration,264,0,264,0,100,0,0,0
12317,12317,6885861,8958016,1,2013,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,12,12,0,18,100,0,0,0
12318,12318,8178482,1974283,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,12,8,4,18,100,,,
12319,12319,9343065,9036797,1,2013,Black,M,41-50,Theft Second Degree - Felony,Property,,M9,Incarceration,12,0,12,0,100,0,0,0
12320,12320,5008421,6905623,1,2013,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
12321,12321,2241871,2713656,1,2013,White,F,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D4,Probation,12,12,0,24,100,0,0,0
12322,12322,2824712,4206905,2,2013,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Probation,12,12,0,18,100,0,0,0
12323,12323,2824712,4206905,3,2013,Black,M,18-21,Flee Law Enforcement Officer,Other,,M8,Probation,6,6,0,18,5099,,,
12324,12324,3493804,2326000,1,2013,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Probation,24,24,0,24,100,,,
12325,12325,4145134,9720090,1,2013,Black,M,41-50,First Degree Sex Abuse- Force,Sex,,M6,Incarceration,60,0,60,0,100,0,0,0
12326,12326,3509537,660847,1,2013,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,15,10,5,24,100,,,
12327,12327,1508733,3099831,1,2013,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
12328,12328,1946237,7222497,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,14,10,4,12,100,,,
12329,12329,6693231,5413793,1,2013,Black,M,18-21,Burglary Two,Property,,M7,Long Split,24,14,10,18,100,,,
12330,12330,6693231,5413793,2,2013,Black,M,18-21,Burglary Two,Property,,M7,Long Split,24,14,10,18,100,,,
12331,12331,1895055,1910848,1,2013,Black,M,22-30,Burglary Two,Property,,M7,Long Split,24,12,12,24,100,0,0,0
12332,12332,6146668,2120000,1,2013,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
12333,12333,6353626,9670052,1,2013,Other or Unknown,M,18-21,Robbery,Violent,,M8,Short Split,12,9,3,12,100,,,
12334,12334,7492495,3320453,1,2013,Black,M,22-30,Robbery,Violent,,M8,Incarceration,22,0,22,0,100,0,0,0
12335,12335,809711,897154,6,2013,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,22,0,22,0,100,0,0,0
12336,12336,8496178,9491209,1,2013,Other or Unknown,M,22-30,Pandering,Sex,,M9,Incarceration,20,0,20,0,100,0,0,0
12337,12337,1256595,57714,1,2013,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,6,6,1,24,100,,,
12338,12338,4685380,5488936,1,2013,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,18,12,6,24,100,,,
12339,12339,4226786,7289364,1,2013,Black,M,18-21,Assault with Significant Bodily Injury,Violent,,M8,Short Split,12,9,3,12,100,,,
12340,12340,3915132,3292140,1,2013,Other or Unknown,M,18-21,Conspiracy,Other,,M9,Incarceration,18,0,18,0,100,0,0,0
12341,12341,3915132,3292140,2,2013,Other or Unknown,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
12342,12342,3915132,3292140,3,2013,Other or Unknown,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
12343,12343,3915132,3292140,4,2013,Other or Unknown,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
12344,12344,3915132,3292140,5,2013,Other or Unknown,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
12345,12345,3915132,3292140,10,2013,Other or Unknown,M,18-21,Offenses Committed During Release,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
12346,12346,1134209,4279692,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Short Split,12,8,4,18,100,0,0,0
12347,12347,710497,4256284,1,2013,Black,M,15-17,Robbery,Violent,,M6,Incarceration,18,0,18,0,100,0,0,0
12348,12348,2851595,2087554,1,2013,Black,M,18-21,Robbery,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
12349,12349,2886844,4149735,1,2013,Black,M,18-21,Robbery,Violent,,M5,Incarceration,36,0,36,0,100,,,
12350,12350,567663,7747631,2,2013,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
12351,12351,9240685,5925982,1,2013,Black,M,22-30,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,15,15,0,18,100,0,0,0
12352,12352,6756097,1539575,1,2013,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,36,0,36,0,100,0,0,0
12353,12353,6756097,1539575,2,2013,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,36,0,36,0,100,0,0,0
12354,12354,6756097,1539575,3,2013,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,36,0,36,0,100,0,0,0
12355,12355,6756097,1539575,4,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,36,0,36,0,100,0,0,0
12356,12356,1435509,6895190,1,2013,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
12357,12357,8747272,3987690,1,2013,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,18,12,6,36,100,,,
12358,12358,1833365,2750314,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Short Split,18,12,6,24,100,,,
12359,12359,3035187,7956108,1,2013,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0
12360,12360,9293397,6309032,5,2013,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
12361,12361,9293397,6309032,8,2013,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Incarceration,18,0,18,0,100,0,0,0
12362,12362,7804561,6612178,1,2013,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Long Split,30,22,8,18,100,0,0,0
12363,12363,7804561,6612178,4,2013,Black,M,41-50,Tampering With Physical Evidence,Other,,M9,Probation,10,10,0,18,100,0,0,0
12364,12364,3594578,6834453,1,2013,Black,M,22-30,Prisoner Escape,Other,,M9,Incarceration,6,0,6,0,200,0,0,0
12365,12365,3666316,5805351,1,2013,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,7,7,1,12,100,0,0,0
12366,12366,6739701,7912957,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,18,18,0,18,100,,,
12367,12367,2245490,3071260,1,2013,Black,M,18-21,Bail Reform Act -Felony,Other,,M9,Short Split,16,10,6,12,100,0,0,0
12368,12368,2677596,1659624,2,2013,Black,F,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,10,10,0,18,100,0,0,0
12369,12369,3744190,1833801,2,2013,Black,F,22-30,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,12,12,0,12,100,,,
12370,12370,3497397,1664015,1,2013,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Incarceration,16,0,16,0,100,0,0,0
12371,12371,6051334,3966212,1,2013,Black,M,51-60,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
12372,12372,8614623,6720839,1,2013,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Short Split,9,9,1,16,100,0,0,0
12373,12373,5139461,6843833,1,2013,Black,M,41-50,Robbery,Violent,,M6,Incarceration,36,0,36,0,150,0,0,0
12374,12374,5139461,6843833,2,2013,Black,M,41-50,Robbery,Violent,,M6,Incarceration,36,0,36,0,150,0,0,0
12375,12375,557408,3031810,1,2013,Black,,18-21,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,1,0,1,0,100,0,0,0
12376,12376,7771865,2827611,1,2013,Black,M,51-60,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,12,0,12,0,100,0,0,0
12377,12377,9759877,8025662,1,2013,Black,M,18-21,Conspiracy,Other,,M9,Incarceration,20,0,20,0,100,,,
12378,12378,9759877,8025662,3,2013,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,16,0,16,0,100,,,
12379,12379,9759877,8025662,4,2013,Black,M,18-21,Robbery,Violent,,M6,Incarceration,60,0,60,0,100,,,
12380,12380,9759877,8025662,9,2013,Black,M,18-21,Robbery,Violent,,M8,Incarceration,24,0,24,0,100,,,
12381,12381,2749426,1543843,1,2013,Black,M,22-30,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,20,20,0,18,250,,,
12382,12382,2479021,9052132,1,2013,Black,M,51-60,Burglary Two,Property,,M7,Short Split,36,36,1,30,100,0,0,0
12383,12383,2479021,9052132,2,2013,Black,M,51-60,Offenses Committed During Release,Other,,M9,Short Split,9,9,1,9,100,0,0,0
12384,12384,5982729,7459999,1,2013,Other or Unknown,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,10,0,10,0,100,0,0,0
12385,12385,4358269,4784069,2,2013,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Incarceration,18,0,18,0,100,0,0,0
12386,12386,4655113,177251,1,2013,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,12,12,0,24,100,0,0,0
12387,12387,835346,7754113,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,12,0,12,0,100,0,0,0
12388,12388,3268540,7795013,2,2013,Black,M,18-21,Aggravated Assault Knowingly,Violent,,M6,Incarceration,42,0,42,0,100,0,0,0
12389,12389,8842930,793670,1,2013,Black,M,41-50,First Degree Child Sex Abuse,Sex,,M3,Incarceration,180,0,180,0,100,0,0,0
12390,12390,8842930,793670,2,2013,Black,M,41-50,First Degree Child Sex Abuse,Sex,,M6,Incarceration,60,0,60,0,100,0,0,0
12391,12391,8842930,793670,3,2013,Black,M,41-50,Assault On A Police Officer,Violent,,M7,Incarceration,48,0,48,0,100,0,0,0
12392,12392,8842930,793670,4,2013,Black,M,41-50,Contempt - Felony,Other,,M9,Incarceration,15,0,15,0,100,0,0,0
12393,12393,8842930,793670,5,2013,Black,M,41-50,Contempt - Felony,Other,,M9,Incarceration,15,0,15,0,100,0,0,0
12394,12394,419929,1780004,3,2013,Black,M,18-21,Unarmed Carjacking,Violent,,M5,Incarceration,96,0,96,0,100,0,0,0
12395,12395,419929,1780004,8,2013,Black,M,18-21,Robbery,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
12396,12396,6276966,463645,1,2013,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,24,0,24,0,100,0,0,0
12397,12397,6276966,463645,6,2013,Black,M,18-21,Robbery,Violent,,M5,Incarceration,72,0,72,0,100,0,0,0
12398,12398,4997256,9738975,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,9,9,0,12,100,,,
12399,12399,5895543,6117052,1,2013,Black,M,22-30,Robbery,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
12400,12400,1356777,9699548,1,2013,Black,M,22-30,Unarmed Carjacking,Violent,,M5,Incarceration,84,0,84,0,100,0,0,0
12401,12401,3983148,1936487,1,2013,Other or Unknown,F,41-50,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Probation,6,6,0,60,100,0,16339.1,0
12402,12402,3715940,65831,1,2013,Other or Unknown,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,615,0
12403,12403,3715940,65831,2,2013,Other or Unknown,M,18-21,Credit Card Fraud-Fel,Other,,M9,Incarceration,12,0,12,0,100,0,400,0
12404,12404,7220330,4615407,1,2013,Black,M,18-21,Second Degree Child Sex Abuse,Sex,,M6,Short Split,24,22,1,18,100,0,0,0
12405,12405,5752701,1340569,1,2013,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0
12406,12406,4284409,4872421,2,2013,Other or Unknown,M,41-50,Second Degree Sex Abuse- Incompetent,Sex,,M7,Incarceration,24,0,24,0,100,0,0,0
12407,12407,4284409,4872421,3,2013,Other or Unknown,M,41-50,Kidnapping,Violent,,M8,Incarceration,12,0,12,0,100,0,0,0
12408,12408,7366648,1340569,1,2013,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0
12409,12409,3217980,8802496,1,2013,White,M,31-40,Robbery,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0
12410,12410,521149,1535453,1,2013,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D3,Short Split,14,12,2,12,100,0,0,0
12411,12411,9702807,6619993,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,15,15,0,18,100,0,0,0
12412,12412,2585294,651831,2,2013,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,0,0,0
12413,12413,7550065,489704,1,2013,Black,M,22-30,Robbery,Violent,,M6,Incarceration,40,0,40,0,100,0,0,0
12414,12414,7303583,4469622,1,2013,Black,M,22-30,Prisoner Escape,Other,,M9,Short Split,18,14,4,12,100,0,0,0
12415,12415,9255714,4499200,1,2013,Black,F,18-21,Assault With A Dangerous Weapon,Violent,,M6,Short Split,12,12,1,24,100,,,
12416,12416,3907393,8689921,1,2013,Black,M,51-60,Theft Second Degree - Felony,Property,,M9,Incarceration,12,0,12,0,100,0,0,0
12417,12417,8221933,2602887,1,2013,Black,M,18-21,Robbery,Violent,,M8,Long Split,18,9,9,24,100,,,
12418,12418,8221933,2602887,2,2013,Black,M,18-21,Tampering With Physical Evidence,Other,,M9,Short Split,3,3,1,24,100,,,
12419,12419,826224,6652020,1,2013,Black,M,18-21,Robbery,Violent,,M6,Short Split,30,25,5,24,100,,,
12420,12420,6606704,9430041,1,2013,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,16,0,16,0,100,0,0,0
12421,12421,4268322,2749158,1,2013,Black,M,31-40,Robbery,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
12422,12422,2803295,6763367,1,2013,Black,M,31-40,Prison Breach,Other,,M9,Short Split,12,6,6,24,100,,,
12423,12423,7377796,9041592,1,2013,Black,M,18-21,Robbery,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0
12424,12424,358651,6625769,1,2013,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
12425,12425,6363150,3970507,1,2013,Black,M,18-21,Burglary Two,Property,,M8,Incarceration,10,0,10,0,100,0,0,0
12426,12426,8439431,5701969,1,2013,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,18,0,18,0,100,0,0,0
12427,12427,3897666,2901250,1,2013,Black,M,15-17,Assault W/I to Kill,Violent,,M5,Incarceration,52,0,52,0,100,0,0,0
12428,12428,4481828,5564772,1,2013,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,18,16,2,12,100,,,
12429,12429,1316712,4725819,2,2013,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,12,0,12,0,100,0,250,0
12430,12430,6594072,535279,1,2013,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Long Split,16,4,12,16,100,0,0,0
12431,12431,6594072,535279,6,2013,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,18,6,12,16,100,0,0,0
12432,12432,7281518,1005740,6,2013,Black,M,41-50,Flee Law Enforcement Officer,Other,,M8,Incarceration,14,0,14,0,100,0,0,0
12433,12433,1585668,2294177,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Incarceration,6,0,6,0,100,0,0,0
12434,12434,2010283,3710444,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Incarceration,10,0,10,0,100,,,
12435,12435,1356699,4213113,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,15,15,0,18,200,,,
12436,12436,6983847,9684972,1,2013,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Probation,18,18,0,18,100,0,0,0
12437,12437,4657590,3855515,1,2013,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,12,12,1,24,100,,,
12438,12438,2385246,4570989,1,2013,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,0,0,0
12439,12439,2385246,4570989,3,2013,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,20,0,20,0,100,0,0,0
12440,12440,168976,6747312,2,2013,Black,M,22-30,Poss W/I to Dist Marijuana-Fel,Drug,,D3,Incarceration,18,0,18,0,100,0,0,0
12441,12441,6700471,5861993,1,2013,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,6,6,1,12,100,,,
12442,12442,3240972,7715493,3,2013,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,12,0,12,0,100,0,0,0
12443,12443,8661416,3537483,1,2013,Black,M,31-40,Robbery,Violent,,M6,Incarceration,42,0,42,0,100,0,0,0
12444,12444,8661416,3537483,2,2013,Black,M,31-40,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,90,0,90,0,100,0,0,0
12445,12445,8661416,3537483,3,2013,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
12446,12446,709327,3903209,1,2013,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,24,12,12,18,100,,,
12447,12447,613661,1611065,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,18,18,0,18,100,,,
12448,12448,613661,1611065,2,2013,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,15,15,0,18,100,,,
12449,12449,1523215,2243805,1,2013,Black,M,31-40,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,9,9,0,12,100,,,
12450,12450,9490205,4495731,1,2013,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,16,0,16,0,100,0,0,0
12451,12451,1082646,3746805,1,2013,Black,M,18-21,Unlawful Possession of Liquid PCP,Drug,,D3,Incarceration,14,0,14,0,100,0,0,0
12452,12452,3661651,2008862,1,2013,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Short Split,6,6,1,12,100,,,
12453,12453,5171712,443899,1,2013,Black,M,22-30,Assault W/I to Kill,Violent,,M5,Incarceration,60,0,60,0,250,0,0,0
